tag.number.full,DT,Location,Type,Num_Detect,Date,Species,Gender,Length,Time,sponser,name,school,school_class,Location2,Name,LAT,LONG,color
0000_0000000181624059,2021-05-01T02:06:20Z,A5,HR,153,4/30/21,A,F,28.2,21:16:00,Tom Duncan,Sippy#11,,,3,Dexters 1,41.5855,-70.572629,#3182bd
0000_0000000181624059,2021-05-01T03:01:48Z,J1,HR,23,4/30/21,A,F,28.2,21:16:00,Tom Duncan,Sippy#11,,,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
0000_0000000181624059,2021-05-01T03:02:27Z,J2,HR,201,4/30/21,A,F,28.2,21:16:00,Tom Duncan,Sippy#11,,,10,Bottom JP Corssing,41.5898,-70.572418,#fff7bc
0000_0000000181624059,2021-05-01T03:03:27Z,J3,HR,148,4/30/21,A,F,28.2,21:16:00,Tom Duncan,Sippy#11,,,11,Top JP Crossing,41.5898,-70.572418,#fec44f
0000_0000000181624059,2021-05-01T03:03:36Z,J4,HR,112,4/30/21,A,F,28.2,21:16:00,Tom Duncan,Sippy#11,,,12,Above JP Crossing,41.5898,-70.572418,#d95f0e
0000_0000000181624059,2021-05-01T03:03:37Z,J4,HR,1,4/30/21,A,F,28.2,21:16:00,Tom Duncan,Sippy#11,,,12,Above JP Crossing,41.5898,-70.572418,#d95f0e
0000_0000000181624060,2021-05-01T05:26:50Z,A5,HR,308,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,3,Dexters 1,41.5855,-70.572629,#3182bd
0000_0000000181624060,2021-05-01T05:26:55Z,A5,HR,10,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,3,Dexters 1,41.5855,-70.572629,#3182bd
0000_0000000181624060,2021-05-01T07:10:22Z,J1,HR,5997,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
0000_0000000181624060,2021-05-01T07:10:51Z,J2,HR,6070,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,10,Bottom JP Corssing,41.5898,-70.572418,#fff7bc
0000_0000000181624060,2021-05-01T07:10:52Z,J2,HR,1,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,10,Bottom JP Corssing,41.5898,-70.572418,#fff7bc
0000_0000000181624060,2021-05-01T07:10:59Z,J2,HR,4,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,10,Bottom JP Corssing,41.5898,-70.572418,#fff7bc
0000_0000000181624060,2021-05-01T07:11:01Z,J2,HR,1,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,10,Bottom JP Corssing,41.5898,-70.572418,#fff7bc
0000_0000000181624060,2021-05-01T07:11:03Z,J2,HR,1,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,10,Bottom JP Corssing,41.5898,-70.572418,#fff7bc
0000_0000000181624060,2021-05-01T07:13:02Z,J3,HR,6395,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,11,Top JP Crossing,41.5898,-70.572418,#fec44f
0000_0000000181624060,2021-05-01T07:13:03Z,J1,HR,136,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
0000_0000000181624060,2021-05-01T07:13:24Z,J4,HR,6340,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,12,Above JP Crossing,41.5898,-70.572418,#d95f0e
0000_0000000181624060,2021-05-01T07:13:25Z,J4,HR,1,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,12,Above JP Crossing,41.5898,-70.572418,#d95f0e
0000_0000000181624060,2021-05-01T07:13:26Z,J4,HR,1,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,12,Above JP Crossing,41.5898,-70.572418,#d95f0e
0000_0000000181624060,2021-05-01T07:13:27Z,J4,HR,3,4/30/21,A,N,27.2,21:17:00,Tom Duncan,Sippy#12,,,12,Above JP Crossing,41.5898,-70.572418,#d95f0e
900_228000637836,2021-04-19T03:50:15Z,J1,HA,885								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T03:52:46Z,J1,HA,374								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T03:52:48Z,J1,HA,2								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T03:52:50Z,J1,HA,3								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T03:52:51Z,J1,HA,1								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
900_228000637836,2021-04-19T03:52:55Z,J1,HA,7								,4/18/21,A,F,26.5,20:10:00,,Autumn,Mullen_Hall,Mullen_Stevens,9,Below JP Crossing,41.5898,-70.572418,#ffeda0
