Location	Date	Species	Gender	Length	tag number full 	Time
A0	4/18/21	A	F	26.5	900_228000637836	20:10:00
A0	4/18/21	A	N	28.2	900_228000637837	20:12:00
A0	4/18/21	A	F	28.2	900_228000637838	20:14:00
A0	4/18/21	A	F	27.3	900_228000637839	20:16:00
A0	4/18/21	A	M	27.9	900_228000637840	20:15:00
A0	4/18/21	A	F	25.5	900_228000637843	20:30:00
A0	4/20/21	A	M	26.3	900_228000637841	19:18:00
A0	4/20/21	A	M	26.3	900_228000637842	19:19:00
A0	4/20/21	A	N	26.4	900_228000637844	19:22:00
A0	4/20/21	A	M	26.1	900_228000637845	19:23:00
A0	4/20/21	A	M	26.1	900_228000637846	19:24:00
A0	4/20/21	A	M	26.7	900_228000637847	19:25:00
A0	4/20/21	A	M	26	900_228000637848	19:26:00
A0	4/20/21	A	M	26.4	900_228000637849	19:27:00
A0	4/20/21	A	N	27.8	900_228000637850	19:28:00
A0	4/20/21	A	M	26.1	900_228000637851	19:29:00
A0	4/20/21	A	N	27.3	900_228000637852	19:30:00
A0	4/20/21	A	N	26.7	900_228000637853	19:32:00
A0	4/20/21	A	M	28	900_228000637854	19:35:00
A0	4/20/21	A	M	25.3	900_228000637855	19:45:00
A0	4/20/21	A	M	26.1	900_228000637856	19:50:00
A0	4/20/21	A	M	27.3	900_228000637857	19:51:00
A0	4/20/21	A	M	25.8	900_228000637858	19:52:00
A0	4/20/21	A	N	27.7	900_228000637859	19:54:00
A0	4/20/21	A	N	27.3	900_228000637860	19:55:00
A0	4/20/21	A	F	27.5	900_228000637861	20:00:00
A0	4/20/21	A	F	29	900_228000637862	20:01:00
A0	4/20/21	A	F	27.5	900_228000637863	20:02:00
A0	4/20/21	A	M	26.5	900_228000637864	20:03:00
A0	4/20/21	A	M	24.3	900_228000637865	20:04:00
A0	4/20/21	A	M	24	900_228000637866	20:05:00
A0	4/20/21	A	M	26.9	900_228000637867	20:10:00
A0	4/20/21	A	M	26.9	900_228000637868	20:13:00
A0	4/20/21	A	M	27.3	900_228000637869	20:15:00
A0	4/20/21	A	N	27.1	900_228000637870	20:17:00
A0	4/20/21	A	M	27.1	900_228000637871	20:19:00
A0	4/20/21	A	N	27.1	900_228000637872	20:21:00
A0	4/20/21	A	F	31.5	900_228000637873	20:23:00
A0	4/20/21	A	F	29.1	900_228000637874	20:25:00
A0	4/20/21	A	M	26.2	900_228000637875	20:27:00
A0	4/20/21	A	M	26.3	900_228000637876	20:29:00
A0	4/20/21	A	F	29.9	900_228000637877	20:31:00
A0	4/20/21	A	M	26.8	900_228000637878	20:33:00
A0	4/20/21	A	N	27.3	900_228000637879	20:35:00
A0	4/20/21	A	F	27.9	900_228000637880	20:37:00
A0	4/20/21	A	N	26.2	900_228000637881	20:39:00
A0	4/20/21	A	M	25.9	900_228000637882	20:41:00
A0	4/20/21	A	F	28.2	900_228000637883	20:43:00
A0	4/20/21	A	F	27.5	900_228000637884	20:45:00
A0	4/20/21	A	M	26.2	900_228000637885	20:47:00
A0	4/20/21	A	F	27.5	900_228000637886	20:49:00
A0	4/20/21	A	N	26.3	900_228000637887	20:51:00
A0	4/20/21	A	F	28.1	900_228000637888	20:53:00
A0	4/20/21	A	F	27.3	900_228000637889	20:55:00
A0	4/20/21	A	M	26.1	900_228000637890	20:57:00
A0	4/20/21	A	F	28	900_228000637891	20:59:00
A0	4/20/21	A	M	26.8	900_228000637892	21:01:00
A0	4/20/21	A	N	26.3	900_228000637893	21:03:00
A0	4/20/21	A	M	27.2	900_228000637894	21:05:00
A0	4/20/21	A	F	30	900_228000637895	21:07:00
A0	4/20/21	A	N	27.3	900_228000637896	21:09:00
A0	4/20/21	A	F	28.2	900_228000637897	21:11:00
A0	4/20/21	A	F	28.9	900_228000637898	21:13:00
A0	4/20/21	A	F	29.5	900_228000637899	21:15:00
A0	4/20/21	A	F	27.2	900_228000637900	21:17:00
A0	4/20/21	A	F	28.8	900_228000637901	21:19:00
A0	4/20/21	A	F	25.9	900_228000637902	21:21:00
A0	4/20/21	A	F	27.2	900_228000637903	21:23:00
A0	4/20/21	A	M	27.5	900_228000637904	21:25:00
A0	4/20/21	A	M	26.1	900_228000637905	21:27:00
A0	4/20/21	N	M	25	900_228000637906	21:29:00
A0	4/20/21	A	F	27.7	900_228000637907	21:31:00
A0	4/20/21	A	M	26.5	900_228000637908	21:33:00
A0	4/20/21	A	F	29.1	900_228000637909	21:35:00
A0	4/20/21	A	F	30	900_228000637910	21:37:00
A0	4/20/21	A	F	28.4	900_228000637911	21:39:00
A0	4/20/21	A	M	27.5	900_228000637912	21:41:00
A0	4/20/21	A	M	26.1	900_228000637913	21:43:00
A0	4/20/21	A	M	26.8	900_228000637914	21:45:00
A0	4/20/21	A	M	27.2	900_228000637915	21:47:00
A0	4/20/21	A	M	26.4	900_228000637916	21:49:00
A0	4/20/21	B	M	24.4	900_228000637917	21:51:00
A0	4/20/21	A	M	27.2	900_228000637918	21:53:00
A0	4/20/21	A	M	26.4	900_228000637919	21:55:00
A0	4/20/21	A	M	26.6	900_228000637920	21:57:00
A0	4/20/21	A	M	25.6	900_228000637921	21:59:00
A0	4/20/21	A	F	28	900_228000637922	22:01:00
A0	4/20/21	A	F	30.6	900_228000637923	22:03:00
A0	4/20/21	A	F	27.5	900_228000637924	22:05:00
A0	4/20/21	A	M	27.7	900_228000637925	22:07:00
A0	4/20/21	A	M	27.2	900_228000637926	22:09:00
A0	4/20/21	A	M	28	900_228000637927	22:11:00
A0	4/20/21	A	M	28.2	900_228000637928	22:13:00
A0	4/20/21	A	M	27.2	900_228000637929	22:15:00
A0	4/20/21	A	M	26	900_228000637930	22:17:00
A0	4/20/21	A	F	29.5	900_228000637931	22:19:00
A0	4/20/21	A	M	27.2	900_228000637932	22:21:00
A0	4/20/21	A	N	26	900_228000637933	22:23:00
A0	4/20/21	A	M	25.3	900_228000637934	22:25:00
A0	4/20/21	A	M	27.9	900_228000637935	22:27:00
A0	4/20/21	A	M	26.7	900_228000637936	22:29:00
A0	4/20/21	A	F	30.2	900_228000637937	22:31:00
A0	4/20/21	A	F	30	900_228000637938	22:33:00
A0	4/20/21	A	M	27.8	900_228000637939	22:35:00
A0	4/20/21	A	F	30.5	900_228000637940	22:37:00
A0	4/20/21	A	F	28.1	900_228000637941	22:39:00
A0	4/26/21	A	M	25.6	900_228000637942	20:40:00
A0	4/27/21	A	F	30.7	900_228000637943	19:33:00
A0	4/27/21	A	M	25.4	900_228000637944	19:35:00
A0	4/27/21	A	M	25.6	900_228000637945	20:04:00
A0	4/27/21	A	M	26.6	900_228000637946	20:05:00
A0	4/27/21	A	M	27.1	900_228000637947	20:06:00
A0	4/27/21	A	F	27.4	900_228000637948	20:24:00
A0	4/27/21	A	F	28.1	900_228000637949	20:24:00
A0	4/27/21	A	M	29	900_228000637950	20:24:00
A0	4/27/21	A	M	26.1	900_228000637951	20:26:00
A0	4/27/21	A	M	27.2	900_228000637952	20:45:00
A0	4/27/21	A	M	27.5	900_228000637953	20:58:00
A0	4/27/21	A	M	26	900_228000637954	20:59:00
A0	4/27/21	A	M	26.3	900_228000637955	21:03:00
A0	4/27/21	A	F	27.6	900_228000637956	21:10:00
A0	4/27/21	A	F	29.3	900_228000637957	21:20:00
A0	4/27/21	A	M	27.9	900_228000637958	21:30:00
A0	4/27/21	A	M	26.1	900_228000637959	21:30:00
A0	4/27/21	A	M	26	900_228000637960	21:35:00
A0	4/27/21	A	M	26.7	900_228000637961	21:40:00
A0	4/30/21	A	F	27.5	900_228000637962	20:40:00
A0	4/30/21	A	M	27.8	900_228000637963	20:42:00
A0	4/30/21	A	M	27.8	900_228000637964	20:44:00
A0	4/30/21	A	M	25.9	900_228000637965	20:44:00
A0	4/30/21	A	M	25.5	900_228000637966	20:45:00
A0	4/30/21	A	F	26.9	900_228000637967	20:47:00
A0	4/30/21	A	M	26.2	900_228000637968	20:48:00
A0	4/30/21	A	F	28.3	900_228000637969	20:53:00
A0	4/30/21	A	M	26.8	900_228000637970	20:53:00
A0	4/30/21	A	F	26.7	900_228000637971	20:54:00
A0	4/30/21	A	M	27	900_228000637972	20:56:00
A0	4/30/21	A	N	27.5	900_228000637973	20:57:00
A0	4/30/21	A	M	27	900_228000637974	20:59:00
A0	4/30/21	A	M	27.1	900_228000637975	20:59:00
A0	4/30/21	A	F	27.7	900_228000637976	21:00:00
A0	4/30/21	A	M	28.2	900_228000637977	21:00:00
A0	4/30/21	A	F	29.1	900_228000637978	21:02:00
