Location	Location2	Name	LAT	LONG	color
A0	2	Lower Bog Tag Site	41.582048	-70.57298	#756bb1
A5	3	Dexters 1	41.5855	-70.572629	#3182bd
J1	9	Below JP Crossing	41.5898	-70.572418	#ffeda0
J2	10	Bottom JP Corssing	41.5898	-70.572418	#fff7bc
J3	11	Top JP Crossing	41.5898	-70.572418	#fec44f
J4	12	Above JP Crossing	41.5898	-70.572418	#d95f0e
C1	13	Flax Pond	41.588033	-70.569088	#31a354
C0	8	Flax Tag Site	41.588033	-70.569088	#a1d99b
A1	3	Lower Bog	41.582048	-70.57298	#3182bd
A2	0	Below Lower Dike	41.582048	-70.57298	#3182bd
T1	14	River Bend Lower	41.601142	-70.572515	#4B0082
T2	15	River Bend Upper	41.601142	-70.572515	#800080
D1	20	Coon Pond Box	41.619134	-70.572175	#e34a33
D2	21	Coon Pond	41.619134	-70.572175	#e34a33
A3	1	Above Lower Dike	41.582048	-70.57298	#3182bd
U3	18	Broad River 3	41.60981	-70.571777	#fec44f
U4	19	Broad River 4	41.60981	-70.571777	#d95f0e
B0	7	Middle Tag Site	41.5855	-70.572629	#ffeda0
U1	16	Broad River 1	41.60981	-70.571777	#ffeda0
A28	0	Above 28	41.578521	-70.573456	#756bb1
A6	4	Dexters 2	41.5855	-70.572629	#3182bd
